Szczecin,1,1
płaczliwy,0,0
Wadżrajany,1,0
klatka,0,0
Rugia,1,1
nyski,0,1
telewizor,0,0
woody,0,1
złamanie,0,0
usunięcie,0,0
mieszkalny,0,0
postępowanie,0,0
chłopi,0,0
schudnąć,0,0
Retreat,1,0
niezdolny,0,0
browarz,0,0
petrak,0,1
Valle,1,1
pigment,0,0
musić,0,0
Kerckhove,1,1
Eley,1,1
rozejmowy,0,0
przepustowość,0,0
estakada,0,0
trzebnica,0,1
wliczać,0,0
jednoczesny,0,0
Zgorzelec,1,1
śnieżyczka,0,0
zbonikowski,0,1
270,0,0
272,0,0
273,0,0
targi,0,0
Iphone,1,1
poszukiwać,0,0
chwilowo,0,0
279,0,0
radykalny,0,0
wujo,0,1
uznanie,0,0
uspokajać,0,0
sterować,0,0
pawel,0,0
platformowego,0,0
Hamilton,1,1
trzykrotny,0,0
chłodnia,0,0
widget,0,0
nawa,0,0
china,0,1
terenówka,0,0
Wąsosz,1,1
gładko,0,0
uogólnienie,0,0
przetrawić,0,0
Sokolniki,1,1
poganin,0,0
rozróżnialny,0,0
Bixente,1,1
wikimedii,0,1
peryhelium,0,0
intuicyjny,0,0
wikimedia,0,1
kupujący,0,0
Sudugodski,1,1
kupująca,0,0
dna,0,0
godzina,0,0
dno,0,0
płomienić,0,0
music,0,1
Keenowi,1,1
widawy,0,1
Przemysł,1,0
świętokrzyski,0,1
yahoo,0,1
świergotliwy,0,0
widawa,0,1
skandawa,0,1
napastnęła,0,0
murchison,0,1
potocznie,0,0
kartuz,0,1
relegować,0,0
Murzyn,1,1
słabić,0,0
Le,1,1
La,1,1
paweł,0,1
wielonienasycone,0,0
LG,0,1
LE,0,1
pogłębiać,0,0
wtorek,0,0
LO,0,1
LM,0,1
kraik,0,0
LW,0,1
zasługiwać,0,0
LS,0,0
broncin,0,1
niebianin,0,0
1177,0,0
safianowy,0,0
1173,0,0
1172,0,0
podmiot,0,0
opodatkowanie,0,0
wrona,0,0
dukaja,0,1
trunek,0,0
jakże,0,0
istnienie,0,0
przechwyt,0,0
mizerny,0,0
pomyłka,0,0
hollmann,0,1
Rassemblement,1,1
zabawka,0,1
Morten,1,1
seminarium,0,0
tenis,0,0
oszczep,0,0
śniady,0,0
pokłaść,0,0
walec,0,0
624,0,0
baryłka,0,0
Bałtyk,1,1
archimandryta,0,0
fin,0,1
variables,0,0
naznaczyć,0,0
